简码：aq	安全
简码：lild	历朝历代
简码：lirf	冷嘲热讽
简码：ljiz	离家出走
简码：ljjh	浪迹江湖
简码：llbb	搂搂抱抱
简码：llbu	恋恋不舍
简码：lldd	唠唠叨叨
简码：llhh	来来回回
简码：llid	绫罗绸缎
简码：llmm	泪流满面
简码：llqm	来龙去脉
简码：llqq	冷冷清清
简码：llss	啰啰嗦嗦
简码：lltt	玲珑剔透
简码：llvc	沦落至此
简码：llvh	利令智昏
简码：llwj	寥寥无几
简码：llww	碌碌无为
简码：llxx	陆陆续续
简码：llyx	流落异乡
简码：lmdc	连蒙带猜
简码：lmsd	两面三刀
简码：lqqm	两全其美
简码：lqsj	离群索居
简码：lrbj	利人不利己
简码：lril	令人齿冷
简码：lrdh	令人胆寒
简码：lrgd	令人感动
简码：lsdr	理所当然
简码：lsmf	牢骚满腹
简码：ltyy	路途遥远
简码：ludv	劳师动众
简码：luhu	乐善好施
简码：luqu	绿水青山
简码：luru	料事如神
简码：luyy	良师益友
简码：lvdd	列支敦士登
简码：lvuy	力争上游
简码：lvye	略知一二
简码：lybd	立于不败之地
简码：lybj	络绎不绝
简码：lyhx	龙吟虎啸
简码：lyli	伶牙俐齿
简码：lyvg	洛阳纸贵
简码：lyvu	燎原之势
简码：lyxy	临渊羡鱼
简码：mahx	没安好心
简码：mbgs	面不改色
简码：mbvu	名不正言不顺
简码：mbzu	默不作声
简码：mfjl	满腹经纶
简码：mfmm	每分每秒
简码：mggu	马革裹尸
简码：mgrj	目光如炬
简码：mgyj	卖官鬻爵
简码：mklu	猫哭老鼠
简码：mklq	门可罗雀
简码：mkyx	眉开眼笑
简码：mlsu	名落孙山
简码：mmdd	懵懵懂懂
简码：mmif	满面春风
简码：mmiy	满目疮痍
简码：mmll	忙忙碌碌
简码：mmqm	莫名其妙
简码：mmqq	勉勉强强
简码：mmrh	茫茫人海
简码：mmuj	名门世家
简码：mmuu	冒冒失失
简码：mmul	明眸善睐
简码：mtdh	弥天大谎
简码：mumk	每时每刻
简码：muvu	没事找事
简码：mvyu	莫衷一是
简码：mwrs	面无人色
简码：myjj	名言警句
简码：njgc	鸟尽弓藏
简码：nnnn	扭扭捏捏
简码：nuzu	能省则省
简码：nvgv	能征惯战
简码：nvwu	能者为师
简码：pddu	屁大点事
简码：pdpd	屁颠屁颠
简码：pdvu	普度众生
简码：pgld	披肝沥胆
简码：phbd	飘忽不定
简码：piyj	排除异己
简码：pkdm	破口大骂
简码：pmnj	拍马难及
简码：qbkz	岂不快哉
简码：qblk	曲不离口
简码：qibd	取长补短
简码：qibk	千疮百孔
简码：qidr	奇耻大辱
简码：qigd	牵肠挂肚
简码：qiwb	千差万别
简码：qixx	气喘吁吁
简码：qiyl	青出于蓝而胜于蓝
简码：qkdu	旗开得胜
简码：qkld	穷困潦倒
简码：qljq	黔驴技穷
简码：qlmm	巧立名目
简码：qlvf	勤劳致富
简码：qmdj	奇门遁甲
简码：qmly	青面獠牙
简码：qmwj	亲密无间
简码：qpti	全盘托出
简码：qqbb	清清白白
简码：qqdd	清清淡淡
简码：qqff	起起伏伏
简码：qqhe	齐齐哈尔
简码：qquu	清清爽爽
简码：qqww	卿卿我我
简码：qqyu	芊芊玉手
简码：qrbj	求人不如求己
简码：qtbj	齐头并进
简码：qtwx	千挑万选
简码：qtyh	情投意合
简码：qubj	七手八脚
简码：qudc	秋收冬藏
简码：qujt	强身健体
简码：quju	前世今生
简码：qulu	青山绿水
简码：qurh	巧舌如簧
简码：quvh	敲山震虎
简码：quxx	气势汹汹
简码：qyfu	牵一发而动全身
简码：qyxy	轻言细语
简码：rbrg	人不人鬼不鬼
简码：rfyr	日复一日
简码：rurh	如诗如画
简码：rybi	软硬不吃
简码：sdvi	所到之处
简码：sebj	死而不僵
简码：sild	死缠烂打
简码：sjri	四季如春
简码：sjyb	死记硬背
简码：slbj	四两拨千斤
简码：srww	索然无味
简码：sudj	丧失殆尽
简码：suln	似水流年
简码：suwj	四书五经
简码：syf	三月份
简码：thdd	天寒地冻
简码：thsb	谈虎色变
简码：titv	同吃同住
简码：tjfu	条件反射
简码：tjjq	囤积居奇
简码：tjuh	偷奸耍滑
简码：tmxk	天马行空
简码：tpti	踏破铁鞋无觅处
简码：tucg	同室操戈
简码：tujq	投鼠忌器
简码：tul	太少了
简码：tvmf	涂脂抹粉
简码：tuvu	他山之石
简码：tuxi	铁石心肠
简码：tvyj	弹指一挥间
简码：txdd	通宵达旦
简码：tzbc	兔子不吃窝边草
简码：tzdu	天造地设
简码：tzgs	天姿国色
简码：ubdl	舍不得孩子套不住狼
简码：ubgq	事必躬亲
简码：ubnu	胜败乃兵家常事
简码：uccd	说曹操曹操到
简码：udji	鼠肚鸡肠
简码：udqi	首当其冲
简码：ufbj	尚方宝剑
简码：ufgg	是非功过
简码：ufuu	顺风顺水
简码：ugy	上个月
简码：ugwh	尸骨未寒
简码：uhdd	神魂颠倒
简码：uhll	伤痕累累
简码：uhlm	山花烂漫
简码：uhuu	实话实说
简码：uhvl	事后诸葛亮
简码：uidd	说长道短
简码：uidh	石沉大海
简码：uirj	受宠若惊
简码：uitm	师出同门
简码：ujbb	身价百倍
简码：ujbm	拾金不昧
简码：ujdg	伤筋动骨
简码：ujhx	舒筋活血
简码：ujxm	身家性命
简码：ulbs	十里不同俗
简码：ulbw	上梁不正下梁歪
简码：uljx	声泪俱下
简码：uqlr	恃强凌弱
简码：uryh	拾人牙慧
简码：uryy	授人以渔
简码：uubf	身手不凡
简码：uudd	世世代代
简码：uudm	世事洞明
简码：uudu	审时度势
简码：uuhr	水深火热
简码：uull	顺顺利利
简码：uumm	神神秘秘
简码：uuqy	舍生取义
简码：uure	声声入耳
简码：uuuf	孰是孰非
简码：uuul	省时省力
简码：uuuu	生生世世
简码：uuuv	善始善终
简码：uuvh	杀身之祸
简码：uuwd	熟视无睹
简码：uuxx	上上下下
简码：uuyi	稍胜一筹
简码：uuzx	时势造英雄
简码：uvbw	胜之不武
简码：uvbx	身正不怕影子斜
简码：uvdy	失之东隅
简码：uvgj	首战告捷
简码：uvjb	失之交臂
简码：uvmg	实至名归
简码：uvww	食之无味
简码：uvyr	受制于人
简码：uvyu	少之又少
简码：uwvi	顺我者昌
简码：uxlm	双喜临门
简码：uxxi	蛇蝎心肠
简码：uzch	身在曹营心在汉
简码：uzju	稍纵即逝
简码：uzlk	十字路口
简码：vdqu	照单全收
简码：vdyu	掷地有声
简码：vefu	周而复始
简码：vfff	知法犯法
简码：vfvy	照方抓药
简码：vfwh	指腹为婚
简码：vgvj	中规中矩
简码：vgwu	至高无上
简码：vgy	这个月
简码：vhmj	追悔莫及
简码：vild	争长论短
简码：vjdm	针尖对麦芒
简码：vjww	朝九晚五
简码：vlvq	直来直去
简码：vqyu	珍禽异兽
简码：vrug	众人拾柴火焰高
简码：vudu	终身大事
简码：vulu	著书立说
简码：vuqr	仗势欺人
简码：vuvd	众矢之的
简码：vvbu	照章办事
简码：vvjj	战战兢兢
简码：vvju	长长见识
简码：vvqq	整整齐齐
简码：vvru	蒸蒸日上
简码：vvsu	置之死地而后生
简码：vvuu	知之甚少
简码：vvvv	真真正正
简码：vvww	支支吾吾
简码：vxqu	直系亲属
简码：vygu	只要功夫深
简码：wbwj	文本文件
简码：wdyh	闻道有先后
简码：wfsd	威风扫地
简码：whzi	为虎作伥
简码：wjbc	无坚不摧
简码：wjbf	万劫不复
简码：wjdc	无精打采
简码：wjku	无计可施
简码：wjtz	物竞天择
简码：wjwu	无拘无束
简码：wlbz	无利不起早
简码：wlkt	无利可图
简码：wlxu	歪理邪说
简码：wubd	为数不多
简码：wubj	无商不奸
简码：wudj	万事大吉
简码：wugz	为时过早
简码：wujb	万事俱备
简码：wuqu	万水千山
简码：wuuf	无事生非
简码：wuwj	畏手畏脚
简码：wuwk	无时无刻
简码：wuww	畏首畏尾
简码：wuyh	握手言和
简码：wuyr	勿施于人
简码：wuyy	巫山云雨
简码：wvvb	瓮中之鳖
简码：wwdy	文无第一
简码：wwlw	物我两忘
简码：wwnn	歪歪扭扭
简码：wwqq	弯弯曲曲
简码：wwsv	玩物丧志
简码：wwvv	完完整整
简码：wwvy	唯物主义
简码：www	呜呜呜
简码：wwyu	万无一失
简码：wwzi	五味杂陈
简码：wxdy	妄下断语
简码：wyym	惟有饮者留其名
简码：xbrm	小不忍则乱大谋
简码：xbtg	心比天高
简码：xbuf	刑不上大夫
简码：xbuv	邪不胜正
简码：xbxj	虾兵蟹将
简码：xdxx	想东想西
简码：xdyv	相得益彰
简码：xgcl	星光灿烂
简码：xidx	新陈代谢
简码：xiuy	相差甚远
简码：xiwj	相差无几
简码：xiww	喜出望外
简码：xjyk	席卷一空
简码：xlcd	笑里藏刀
简码：xlfh	降龙伏虎
简码：xlih	血流成河
简码：xlqb	星罗棋布
简码：xlrv	血流如注
简码：xltj	泄露天机
简码：xluh	心领神会
简码：xlxq	想来想去
简码：xlxy	笑脸相迎
简码：xlyt	吓了一跳
简码：xmyj	蓄谋已久
简码：xmyz	心满意足
简码：xnyr	小鸟依人
简码：xnyu	血浓于水
简码：xpdk	血盆大口
简码：xqlm	贤妻良母
简码：xqlu	小桥流水
简码：xrdj	心如刀绞
简码：xubn	心神不宁
简码：xubq	形势比人强
简码：xuhh	心神恍惚
简码：xumu	喜上眉梢
简码：xuyx	修身养性
简码：xxbb	修修补补
简码：xxbn	心绪不宁
简码：xxdd	絮絮叨叨
简码：xxhu	险象环生
简码：xxil	新鲜出炉
简码：xxji	相形见绌
简码：xxll	稀稀拉拉
简码：xxmm	寻寻觅觅
简码：xxnn	心心念念
简码：xxss	潇潇洒洒
简码：xxuu	虚虚实实
简码：xxvv	雄心壮志
简码：xxyi	先下一城
简码：xxxy	心心相印
简码：xxy	小心眼
简码：xxyy	香消玉殒
简码：xyfu	咸鱼翻身
简码：xygu	宵衣旰食
简码：xyli	匈牙利
简码：xylm	悬崖勒马
简码：xysi	学有所成
简码：xysu	心有所属
简码：xyyj	心有余悸
简码：xyyz	心有余而力不足
简码：ybbb	以不变应万变
简码：ybbc	以备不测
简码：ybbn	欲罢不能
简码：ybbd	摇摆不定
简码：ybkj	愚不可及
简码：yblv	眼波流转
简码：ybmu	一笔抹杀
简码：ybrc	一表人才
简码：ybru	用兵如神
简码：ybyj	要不要紧
简码：ybyy	有板有眼
简码：ybyz	一兵一卒
简码：ycgj	一寸光阴一寸金
简码：ycjb	由此及彼
简码：yckj	由此可见
简码：ydbu	有得必有失
简码：ydfu	愿赌服输
简码：ydyu	有胆有识
简码：ygbv	衣冠不整
简码：ygqu	衣冠禽兽
简码：yhbk	有何不可
简码：yhdx	银河倒泻
简码：yhuu	一回生二回熟
简码：yhvu	有话直说
简码：yhwh	养虎为患
简码：yibb	一成不变
简码：yibd	扬长避短
简码：yibr	一尘不染
简码：yibx	阳春白雪
简码：yidr	以诚待人
简码：yidy	一锤定音
简码：yigu	摇唇鼓舌
简码：yiml	寅吃卯粮
简码：yiuj	言传身教
简码：yixd	羊肠小道
简码：yiyc	阴差阳错
简码：yiyy	越扯越远
简码：yjbm	一击毙命
简码：yjdk	油尽灯枯
简码：yjhx	衣锦还乡
简码：yjjl	义结金兰
简码：yjlv	冤家路窄
简码：yjvi	一技之长
简码：yjvs	一己之私
简码：yjvu	远见卓识
简码：yjvz	欲加之罪
简码：yjxy	以儆效尤
简码：yjyc	言尽于此
简码：yjyg	咬紧牙关
简码：ykny	有口难言
简码：ykwy	哑口无言
简码：ylwh	有利无害
简码：ylyj	由来已久
简码：ymgd	榆木疙瘩
简码：ymyy	有模有样
简码：yqru	有情人终成眷属
简码：yqyl	于情于理
简码：yqyq	阴晴圆缺
简码：yqyu	有权有势
简码：yrdd	一人得道
简码：yrjr	一荣俱荣
简码：yrvu	跃然纸上
简码：yrwu	阅人无数
简码：yrxm	音容笑貌
简码：yrzd	一人做事一人当
简码：ysbg	一丝不挂
简码：yslj	伊斯兰教
简码：ytbw	摇头摆尾
简码：ythn	油头滑脑
简码：ytyl	有条有理
简码：ytyr	怨天尤人
简码：yubk	一声不吭
简码：yufh	有伤风化
简码：yugj	与世隔绝
简码：yuid	引蛇出洞
简码：yujk	远水解不了近渴
简码：yujl	一石激起千层浪
简码：yull	衣衫褴褛
简码：yuth	移山填海
简码：yuud	一身是胆
简码：yuuu	一试身手
简码：yuvu	有识之士
简码：yuwy	衣食无忧
简码：yuxx	以身相许
简码：yuyb	摇身一变
简码：yuyl	有生以来
简码：yuyr	以势压人
简码：yuys	有声有色
简码：yuyu	阴盛阳衰
简码：yuyx	有说有笑
简码：yuyy	莺声燕语
简码：yuzd	怨声载道
简码：yuzj	咬舌自尽
简码：yvyl	言之有理
简码：yvyv	以战养战
简码：yvyw	言之有物
简码：ywui	意味深长
简码：ywwq	余味无穷
简码：ywxu	言为心声
简码：yxbd	一星半点
简码：yxbi	英雄不问出处
简码：yxby	一心不能二用
简码：yxuj	一线生机
简码：yxys	欲仙欲死
简码：yxyy	言笑晏晏
简码：yybd	以怨报德
简码：yybf	一夜暴富
简码：yybj	油盐不进
简码：yybl	怏怏不乐
简码：yybu	有眼不识泰山
简码：yydc	抑扬顿挫
简码：yyeu	一拥而上
简码：yyfu	因噎废食
简码：yyhh	晕晕乎乎
简码：yyhy	以眼还眼
简码：yyii	晕晕沉沉
简码：yyir	异于常人
简码：yyjr	一语惊醒梦中人
简码：yylm	阴雨连绵
简码：yymm	烟雨蒙蒙
简码：yynj	一言难尽
简码：yyqh	有缘千里来相会
简码：yyqi	咬牙切齿
简码：yyss	洋洋洒洒
简码：yyvy	应有之义
简码：yywj	引以为戒
简码：yyxb	依依惜别
简码：yyxr	炎炎夏日
简码：yyxy	牙牙学语
简码：yyyu	跃跃欲试
简码：yyyv	摇摇欲坠
简码：yyyx	一言一行
简码：yyyy	犹犹豫豫
简码：yzgl	以资鼓励
简码：yzlv	一走了之
简码：yzwj	有增无减
简码：ziyj	自成一家
简码：ziyt	自成一体
简码：zulj	坐失良机
简码：zygl	载誉归来
简码：zyzy	自怨自艾
简码：jgp	截个屏
简码：jgt	截个图
简码：fss	风嗖嗖
简码：jgl	举个例
简码：bru	不认识
简码：kmz	扣帽子
简码：vdh	这段话
简码：slx	三两下
简码：aba	爱不爱
简码：abg	熬不过
简码：abj	矮半截
简码：abl	阿波罗
简码：abv	熬不住
简码：acl	按错了
简码：ade	安道尔
简码：aef	阿尔法
简码：aej	阿尔及利亚
简码：ael	爱尔兰
简码：afh	阿富汗
简码：aft	阿凡提
简码：agl	安哥拉
简码：agt	阿根廷
简码：agv	爱国者
简码：ahu	安徽省
简码：ail	按常理
简码：ajl	安静了
简码：ajs	氨基酸
简码：alb	阿拉伯
简码：ald	阿拉丁
简码：alh	安理会
简码：alq	阿联酋
简码：als	安乐死
简码：alu	按理说
简码：alw	安乐窝
简码：amy	安眠药
简码：amz	爱面子
简码：aqh	爱琴海
简码：aqg	安全感
简码：aqj	安全局
简码：aqp	爱情片
简码：aqx	安全性
简码：ask	奥斯卡
简码：asl	奥斯陆
简码：atj	凹透镜
简码：atu	安徒生
简码：aum	阿诗玛
简码：auu	爱谁谁
简码：avb	安装版
简码：awh	奥委会
简码：ayh	奥运会
简码：ayw	哎呦喂
简码：azb	艾滋病
简码：aav	AA制
简码：aeb	阿尔巴尼亚
简码：afe	埃菲尔铁塔
简码：amd	哀莫大于心死
简码：ams	阿姆斯特丹
简码：ase	埃塞俄比亚
简码：avy	爱之欲其生
简码：axh	按下葫芦起来瓢
简码：bbh	并不会
简码：bbi	办不成
简码：bbk	不包括
简码：bbn	并不能
简码：bbq	北半球
简码：bbt	棒棒糖
简码：bbu	并不是
简码：bbv	八宝粥
简码：bbx	并不想
简码：bby	不必要
简码：bbz	半辈子
简码：bdd	不单单
简码：bdi	不动产
简码：bdl	不得了
简码：bds	不打算
简码：bdv	别当真
简码：beg	巴尔干
简码：bfh	百分号
简码：bfu	比方说
简码：bfz	不负责
简码：bgd	不敢当
简码：bgm	帮个忙
简码：bgv	半个钟
简码：bgy	半个月
简码：bhb	不会吧
简码：bhg	不合格
简码：bhh	白花花
简码：bhq	不回去
简码：bjn	比基尼
简码：bkl	不考虑
简码：bkn	不可能
简码：bkx	不开心
简码：blc	不理睬
简码：bld	便利店
简码：blf	别浪费
简码：blg	板蓝根
简码：blh	博览会
简码：bli	碧螺春
简码：blj	不了解
简码：blk	不离开
简码：bll	不聊了
简码：blm	爆冷门
简码：blp	舶来品
简码：blq	保龄球
简码：blr	病来如山倒
简码：bls	不利索
简码：blt	柏拉图
简码：blv	避雷针
简码：blx	不理想
简码：bly	不利于
简码：bmn	本命年
简码：bnf	不耐烦
简码：bnl	别闹了
简码：bph	不平衡
简码：bpy	不便宜
简码：bqd	不确定
简码：bqg	不奇怪
简码：bqi	不清楚
简码：bqj	白切鸡
简码：bql	冰淇淋
简码：bqr	不求人
简码：bqt	包青天
简码：bqw	不求闻达于诸侯
简码：brd	不认得
简码：brm	白日梦
简码：brn	不然呢
简码：brq	哺乳期
简码：bry	不容易
简码：bsl	变色龙
简码：bsu	不算数
简码：bsw	波斯湾
简码：bsx	不死心
简码：btd	不太懂
简码：btf	白头发
简码：btg	不太敢
简码：bth	不太好
简码：bti	不提倡
简码：btj	不推荐
简码：btm	半透明
简码：btt	扁桃体
简码：btu	半桶水
简码：btw	别太晚
简码：bty	不同意
简码：bub	不是吧
简码：bui	办事处
简码：bvd	不知道
简码：bve	不战而屈人之兵
简码：bvf	辩证法
简码：bvt	不折腾
简码：bvi	不支持
简码：bvj	不着急
简码：bvm	不知名
简码：bvq	不值钱
简码：bvr	班主任
简码：bvu	不只是
简码：bvv	标志着
简码：bvx	标志性
简码：bwd	不稳定
简码：bxd	不晓得
简码：bxf	不相符
简码：bxg	不习惯
简码：bxh	不喜欢
简码：bxi	别瞎扯
简码：bxj	步行街
简码：bxk	必修课
简码：bxl	不行了
简码：bxm	不行吗
简码：bxn	不像你
简码：bxp	必需品
简码：bxq	保修期
简码：bxw	不希望
简码：bxy	不需要
简码：byb	不一般
简码：byd	不一定
简码：byf	八月份
简码：byg	不应该
简码：byj	不要紧
简码：byl	不用了
简码：byn	比翼鸟
简码：byq	变压器
简码：byu	不要说
简码：byv	不一致
简码：byw	本以为
简码：byz	布依族
简码：bzh	不在乎
简码：bzi	不赞成
简码：bzj	不在家
简码：bzl	不早了
简码：bzm	不怎么
简码：bzq	不足取
简码：bzr	不自然
简码：bzu	不早说
简码：bzw	不作为
简码：bzz	不自在
简码：beu	布尔什维克
简码：blb	玻璃杯
简码：brt	不如退而结网
简码：bsr	比死人多口气
简码：bte	白天鹅
简码：bvn	不撞南墙不回头
简码：byt	避孕套
简码：bzk	不做亏心事
简码：cbc	从不曾
简码：cbd	猜不到
简码：cbh	才不会
简码：cbl	错不了
简码：cbu	才不是
简码：cbq	擦边球
简码：cbv	藏不住
简码：cbz	错别字
简码：ccc	噌噌噌
简码：cch	擦擦汗
简码：ccp	残次品
简码：cgj	踩过界
简码：cgl	错过了
简码：chj	催化剂
简码：ckn	才可能
简码：cku	才开始
简码：clb	从来不
简码：clc	擦了擦
简码：cld	催泪弹
简码：clx	策略性
简码：cmm	藏猫猫
简码：cmq	催眠曲
简码：cmt	从明天开始
简码：cmy	从没有
简码：cng	才能够
简码：cpg	擦屁股
简码：cql	藏起来
简码：crn	凑热闹
简码：ctz	醋坛子
简码：cvj	财政局
简码：cwh	村委会
简码：cwl	错误率
简码：cxf	磁悬浮
简码：cxy	才需要
简码：cyb	搓衣板
简码：cyc	猜一猜
简码：cyd	参与度
简码：cym	曾用名
简码：czg	存在感
简码：czt	操作台
简码：cfb	此风不可长
简码：cmf	聪明反被聪明误
简码：cmr	聪明人
简码：cxz	从现在开始
简码：dbd	对不对
简码：dbf	大部分
简码：dbg	打不过
简码：dbh	都不会
简码：dbj	等不及
简码：dbk	打不开
简码：dbl	大不了
简码：dbm	道不明
简码：dbn	都不能
简码：dbq	对不起
简码：dbr	倒不如
简码：dbu	倒不是
简码：dbv	对不住
简码：dbx	代表性
简码：dby	大本营
简码：dbz	带不走
简码：ddp	电灯泡
简码：ddq	对得起
简码：deb	第二遍
简码：dec	第二次
简码：deg	第二个
简码：dem	第二名
简码：den	第二年
简码：deq	大而全
简码：dfb	电饭煲
简码：dfd	大幅度
简码：dfg	电饭锅
简码：dfh	东方红
简码：dfm	单方面
简码：dfn	豆腐脑
简码：dfr	豆腐乳
简码：dfv	豆腐渣
简码：dfw	大范围
简码：dfx	地方性
简码：dfy	丹凤眼
简码：dgf	大锅饭
简码：dgg	顶呱呱
简码：dgi	胆固醇
简码：dgm	大规模
简码：dgq	打过去
简码：dhg	读后感
简码：dhh	打哈哈
简码：dhs	导火索
简码：dih	倒春寒
简码：dlb	得了吧
简码：dlc	大老粗
简码：dld	多伦多
简码：dlg	第六感
简码：dlh	度量衡
简码：dlj	邓丽君
简码：dll	带来了
简码：dlm	对立面
简码：dlq	多了去
简码：dlr	代理人
简码：dlt	大冷天
简码：dlu	大理石
简码：dlv	顶梁柱
简码：dlx	独立性
简码：dly	大老远
简码：dlz	掉链子
简码：dmq	独木桥
简码：dnh	多年后
简码：dpm	大屏幕
简码：dpw	肚皮舞
简码：dpx	地平线
简码：dqc	大气层
简码：dqh	电气化
简码：dql	打起来
简码：dqs	道琼斯
简码：dqv	当权者
简码：dqy	大气压
简码：dqz	兜圈子
简码：dri	单人床
简码：dsg	第三个
简码：dsn	第三年
简码：dth	洞庭湖
简码：dtq	大提琴
简码：dtt	断头台
简码：dtu	大体上
简码：dtv	打头阵
简码：dtx	独特性
简码：dty	等同于
简码：dvd	都知道
简码：dvg	对着干
简码：dvq	等着瞧
简码：dwj	端午节
简码：dwk	吊胃口
简码：dww	大无畏
简码：dwy	动物园
简码：dwl	都忘了
简码：dxe	店小二
简码：dxl	掉下来
简码：dxx	大小写
简码：dxd	单行道
简码：dxf	东西方
简码：dxg	胆小鬼
简码：dxh	都喜欢
简码：dxj	大小姐
简码：dxm	大熊猫
简码：dxs	单相思
简码：dxt	低血糖
简码：dxu	大学生
简码：dxw	定心丸
简码：dxy	大西洋
简码：dxz	东乡族
简码：dxb	大小便
简码：dxi	大学城
简码：dyb	第一遍
简码：dyc	第一次
简码：dyf	独一份
简码：dyg	第一个
简码：dyi	打圆场
简码：dym	第一名
简码：dyn	第一年
简码：dyr	代言人
简码：dzq	打砸抢
简码：dyl	等于零
简码：dlp	得了便宜还卖乖
简码：dte	呆头鹅
简码：dzw	都在玩
简码：ebe	饿不饿
简码：ebf	耳边风
简码：ebh	而不会
简码：ebl	饿扁了
简码：ebq	而不去
简码：eby	而不用
简码：ebs	饿不死
简码：ebu	而不是
简码：ebn	而不能
简码：ebw	二百五
简码：ecy	二次元
简码：edj	二等奖
简码：edz	饿肚子
简码：efg	阿房宫
简码：ege	恩格尔
简码：egt	二锅头
简码：ehh	恶狠狠
简码：ehy	二合一
简码：eiu	二传手
简码：ejd	二季度
简码：ejv	二进制
简码：els	俄罗斯
简码：elt	二郎腿
简码：elz	二流子
简码：emu	峨眉山
简码：enj	二年级
简码：epf	耳旁风
简码：esl	饿死了
简码：esu	二三十
简码：etj	儿童节
简码：eub	二十八
简码：eud	二十多
简码：eue	二十二
简码：euj	二十九
简码：eul	二十六
简码：euq	二十七
简码：eus	二十四
简码：euw	二十五
简码：euy	二十一
简码：euz	二傻子
简码：evi	二指禅
简码：ewm	二维码
简码：exy	二选一
简码：eyf	二月份
简码：ezj	恶作剧
简码：edb	儿大不由娘
简码：elt	厄立特里亚
简码：elu	鹅卵石
简码：esd	饿死胆小的
简码：eun	二十年
简码：evb	二者不可得兼
简码：exq	儿行千里母担忧
简码：exd	恶向胆边生
简码：eyt	二一添作五
简码：fbf	烦不烦
简码：fbi	发不出
简码：fbl	分辨率
简码：fbq	分不清
简码：fbu	分别是
简码：fbv	犯不着
简码：fbx	放不下
简码：fby	翻白眼
简码：fcl	发错了
简码：fdg	梵蒂冈
简码：fdi	房地产
简码：fdp	反对派
简码：fdu	反倒是
简码：fdx	放得下
简码：fdy	辅导员
简码：fdm	防盗门
简码：fdd	肥嘟嘟
简码：fed	富二代
简码：fes	凡尔赛
简码：fhq	防火墙
简码：fib	非常棒
简码：fid	非常多
简码：fif	肥肠粉
简码：fig	非常高
简码：fih	非常好
简码：fii	非常差
简码：fij	放长假
简码：fik	非常快
简码：fil	非常冷
简码：fim	非常慢
简码：fin	非常难
简码：fiq	非常强
简码：fir	非常热
简码：fiu	方程式
简码：fiv	房产证
简码：fix	放长线
简码：fkd	防空洞
简码：fkp	放空炮
简码：fkz	方块字
简码：fla	氟利昂
简码：flb	菲律宾
简码：flf	福利费
简码：flh	风凉话
简码：fli	分理处
简码：fll	法拉利
简码：flp	飞利浦
简码：flq	费力气
简码：fls	发牢骚
简码：flw	法令纹
简码：flx	法兰西
简码：fly	福利院
简码：flz	负离子
简码：fml	发霉了
简码：fmm	敷面膜
简码：fmp	非卖品
简码：fmq	父母亲
简码：fmt	飞毛腿
简码：fmw	分泌物
简码：fmy	驸马爷
简码：fnl	服你了
简码：fnj	妇女节
简码：fpl	废品率
简码：fpq	发脾气
简码：fqj	番茄酱
简码：fqh	凤求凰
简码：fql	放弃了
简码：fqv	肺气肿
简码：frj	缝纫机
简码：frd	副热带
简码：fsl	烦死了
简码：fsr	烦死人
简码：fsx	发散性
简码：ftj	反贪局
简码：ftz	繁体字
简码：fvf	反政府
简码：fvh	法制化
简码：fvl	非主流
简码：fvm	辅助码
简码：fvv	发展中
简码：fvx	辅助性
简码：fvy	分之一
简码：fwi	俯卧撑
简码：fxb	风向标
简码：fxd	发祥地
简码：fxg	方向感
简码：fxj	抚恤金
简码：fxl	发现了
简码：fxp	方向盘
简码：fxs	法西斯
简码：fxu	烦心事
简码：fxx	方向性
简码：fxy	飞行员
简码：fyc	反义词
简码：fyd	发源地
简码：fyg	发一个
简码：fyj	复印件
简码：fyl	反映了
简码：fyq	发言权
简码：fyr	发言人
简码：fyu	腹有诗书气自华
简码：fyx	防御性
简码：fzg	负罪感
简码：fzy	副作用
简码：fmn	风马牛不相及
简码：fqd	夫妻店
简码：fvs	放之四海而皆准
简码：fxx	风萧萧兮易水寒
简码：fyh	蜉蝣撼大树
简码：fzu	富在深山有远亲
简码：fzx	复杂性
简码：gaj	公安局
简码：gat	港澳台
简码：gbb	干巴巴
简码：gbd	怪不得
简码：gbg	够不够
简码：gbh	搞不好
简码：gbi	高不成
简码：gbj	赶不及
简码：gbl	管不了
简码：gbn	更不能
简码：gbq	过不去
简码：gbt	搞半天
简码：gbv	管不着
简码：gbx	鬼把戏
简码：gby	个把月
简码：gbz	光膀子
简码：gby	过把瘾
简码：gdq	过得去
简码：gdz	鬼点子
简码：gfh	规范化
简码：gfq	高峰期
简码：gfx	规范性
简码：gid	共产党
简码：gij	歌唱家
简码：gil	观察力
简码：giq	滚出去
简码：giu	工程师
简码：giv	过程中
简码：giw	广场舞
简码：gkj	高科技
简码：gks	公开赛
简码：gkx	公开信
简码：gll	孤零零
简码：glr	过来人
简码：glt	过两天
简码：gmd	国民党
简码：gme	哥们儿
简码：gmg	鬼门关
简码：gml	根目录
简码：gmq	冠名权
简码：gmv	擀面杖
简码：gnd	高难度
简码：gnn	姑奶奶
简码：gnq	更年期
简码：gnx	功能性
简码：gpg	狗皮膏
简码：gpi	跟屁虫
简码：gpx	公平性
简码：gqb	顾前不顾后
简码：gqd	过去的
简码：gqi	搞清楚
简码：gqj	国庆节
简码：gql	过去了
简码：gqm	鬼敲门
简码：gqt	共青团
简码：gqu	过去时
简码：gqx	高清晰
简码：gtb	改天吧
简码：gtc	感叹词
简码：gtd	共同点
简码：gtf	刮台风
简码：gth	感叹号
简码：gti	共同处
